feature,importance
vol_ratio,0.06848233491196666
vol_ratio_lag5,0.06367513494111314
adx_pos,0.06081638030825597
return_lag3,0.05685122121630931
macd_diff_lag5,0.05448536975545202
vol_ratio_lag1,0.050293298563108046
bb_pct_b_lag5,0.04963276859792096
return_lag4,0.0494234266450478
bb_width,0.049283725008948794
rsi_14_lag5,0.048611762461253254
price_vs_ema20,0.048303505337735884
return_lag2,0.04820845563356853
log_return_lag2,0.04820785799843271
bb_pct_b,0.04617845798892041
vol_ratio_lag2,0.04550821782551334
log_return_lag1,0.043552469607732985
log_return_lag5,0.042778412449843845
obv_zscore,0.04213517730237919
return_lag1,0.04189986242160583
return_lag5,0.041672161024891165
